ID,POS,Name,TM,CID,G,GS,PA,AB,H,1B,2B,3B,HR,RBI,R,BB,IBB,HP,SH,SF,SO,GIDP,wOBA,BABIP,wRC,wRAA,WAR,SB,CS,BatR,wSB,UBR,BsR,G,GS,IP,BF,AB,HA,1B,2B,3B,HR,R,ER,BB,IBB,K,HP,BABIP,SH,SF,WP,DP,RA,pLi,GB,FB,SB,CS,FIP,WPA,WAR,rWAR,SIERA,POS,G,GS,TC,A,PO,E,DP,TP,PCT,RNG,ZR,EFF,SBA,RTO,IP,PB,CER,CERA,BIZ-R,BIZ-Rm,BIZ-L,BIZ-Lm,BIZ-E,BIZ-Em,BIZ-U,BIZ-Um,BIZ-Z,BIZ-Zm,BIZ-I,FRM,ARM
319,RP,Bruce Cunningham,Vegas,40320, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,1,0,4.1,16,15,2,2,0,0,0,0,0,1,0,4,0,.182,0,0,0,0,1,0.39,5,4,0,0,2.07,0.0,0.2,0.3,3.14,1,1,0,0,0,0,0,0,0,.000,0.00,-0.1,.000,0,0,4.1,0,0,0.00,0,0,1,0,0,0,0,0,0,0,0,0.1,0.0
354,RP,Enyel De Los Santos,Mississauga,40764, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,3,0,2.2,16,11,4,1,2,0,1,4,4,4,0,5,0,.600,1,0,0,0,3,0.60,2,1,0,0,8.84,-0.0,-0.1,-0.2,4.47,1,3,0,1,0,1,0,0,0,1.000,3.38,0.1,.000,0,0,2.2,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
240,RP,Daniel Duarte,Low Country,40697, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,3,0,3.2,21,13,4,2,0,0,2,7,7,6,0,4,2,.286,0,0,0,1,3,0.75,2,3,0,1,14.67,-0.6,-0.3,-0.4,6.51,1,3,0,1,0,1,0,1,0,1.000,2.45,0.1,.000,1,1,3.2,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
261,RP,Brandon Duckworth,EVC's,35558, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,1,0,1.0,5,4,1,0,0,0,1,2,2,1,0,3,0,.000,0,0,0,0,1,0.08,0,0,0,0,13.22,-0.0,-0.1,-0.1,1.00,1,1,0,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,1.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
246,RP,Bailey Falter,Low Country,34382, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,4,0,6.2,28,26,5,4,0,1,0,1,1,2,0,5,0,.238,0,0,0,0,4,0.86,10,5,0,0,2.62,0.1,0.2,0.3,4.31,1,4,0,2,2,0,0,0,0,1.000,2.70,0.2,1.006,0,0,6.2,0,0,0.00,2,2,0,0,0,0,0,0,0,0,0,-0.1,0.0
381,RP,Matt Festa,Sugar Land,40802, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,3,0,3.1,19,13,4,3,0,1,0,3,3,6,0,2,0,.364,0,0,0,1,3,1.23,3,4,2,0,7.42,0.1,-0.1,-0.1,8.16,1,3,0,0,0,0,0,0,0,.000,0.00,-0.9,.000,2,0,3.1,0,0,0.00,0,0,0,0,1,0,0,0,0,0,0,-0.0,0.0
355,RP,Matt Festa,Mississauga,40802, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,1,0,2.0,8,8,3,1,0,0,2,2,2,0,0,4,0,.500,0,0,0,0,1,0.42,1,0,0,1,12.22,-0.2,-0.1,-0.1,0.07,1,1,0,0,0,0,0,0,0,.000,0.00,0.1,.000,1,1,2.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
58,RP,Matt Festa,Appleton,40802, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,3,0,4.1,20,16,3,1,1,0,1,2,2,3,0,7,1,.250,0,0,1,0,3,0.33,2,4,0,0,5.76,-0.0,-0.0,0.1,2.70,1,3,0,0,0,0,0,0,0,.000,0.00,0.1,.000,0,0,4.1,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.3,0.0
215,RP,John Frascatore,Oceanside,40220, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,8,0,7.0,31,28,8,8,0,0,0,1,1,3,0,9,0,.421,0,0,0,1,8,2.56,5,6,0,0,1.93,0.2,0.5,0.6,2.94,1,8,0,1,0,1,0,1,0,1.000,1.29,0.1,.000,0,0,7.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0
56,RP,John Frascatore,Appleton,40220, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,4,0,5.0,21,15,1,1,0,0,0,0,0,5,0,10,0,.167,0,1,0,0,4,1.59,1,4,0,0,2.22,0.3,0.2,0.4,2.13,1,4,0,0,0,0,0,0,0,.000,0.00,0.1,.000,0,0,5.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,-0.1,0.0
