ID,POS,Name,TM,CID,G,GS,PA,AB,H,1B,2B,3B,HR,RBI,R,BB,IBB,HP,SH,SF,SO,GIDP,wOBA,BABIP,wRC,wRAA,WAR,SB,CS,BatR,wSB,UBR,BsR,G,GS,IP,BF,AB,HA,1B,2B,3B,HR,R,ER,BB,IBB,K,HP,BABIP,SH,SF,WP,DP,RA,pLi,GB,FB,SB,CS,FIP,WPA,WAR,rWAR,SIERA,POS,G,GS,TC,A,PO,E,DP,TP,PCT,RNG,ZR,EFF,SBA,RTO,IP,PB,CER,CERA,BIZ-R,BIZ-Rm,BIZ-L,BIZ-Lm,BIZ-E,BIZ-Em,BIZ-U,BIZ-Um,BIZ-Z,BIZ-Zm,BIZ-I,FRM,ARM
12,SP,Max Fried,West Virginia,35727, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,1,1,4.2,23,20,8,5,1,0,2,6,6,2,0,5,1,.462,0,0,0,1,0,1.25,4,3,0,1,8.58,-0.5,-0.1,-0.2,3.82,1,1,1,1,1,0,0,0,0,1.000,1.93,0.2,.000,1,1,4.2,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,-0.1,0.0
218,SP,Kyle Gibson,Oceanside,35792, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,4,4,21.0,98,81,24,15,3,0,6,17,17,15,0,28,1,.375,0,1,0,2,0,1.03,16,14,3,2,6.55,-0.7,-0.0,-0.0,3.67,1,4,4,1,1,0,0,0,0,1.000,0.43,-0.8,.000,5,2,21.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,-0.5,0.0
148,SP,Tyler Gilbert,Berlin,40749, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,1,1,6.1,24,23,6,5,1,0,0,1,1,1,0,5,0,.333,0,0,0,2,0,0.97,7,5,0,0,2.11,0.1,0.3,0.4,3.46,1,1,1,0,0,0,0,0,0,.000,0.00,0.1,.000,0,0,6.1,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,-0.4,0.0
15,SP,Tyler Gilbert,West Virginia,40749, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,2,2,7.1,36,34,11,6,2,0,3,11,7,2,0,8,0,.348,0,0,0,1,0,0.87,6,7,2,0,7.17,-0.6,-0.1,-0.4,3.38,1,2,2,0,0,0,0,0,0,.000,0.00,-0.7,.000,2,0,7.1,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,-0.8,0.0
385,SP,Vladimir Gutierrez,Sugar Land,34300, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,2,2,9.0,42,37,12,6,4,0,2,6,6,4,0,8,1,.370,0,0,0,1,0,0.88,10,7,1,0,6.00,-0.1,0.0,0.1,4.28,1,2,2,0,0,0,0,0,0,.000,0.00,-0.3,.000,1,0,9.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,-0.3,0.0
141,SP,Vladimir Gutierrez,Berlin,34300, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,1,1,5.1,25,22,5,2,1,0,2,2,2,3,0,4,0,.188,0,0,0,0,0,1.35,6,5,0,1,8.28,0.0,-0.1,0.2,4.97,1,1,1,0,0,0,0,0,0,.000,0.00,0.2,.000,1,1,5.1,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,-0.5,0.0
302,SP,Harvey Haddix,Tokyo,38110, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,1,1,6.1,29,28,11,8,1,0,2,5,5,1,0,2,0,.375,0,0,0,2,0,0.92,11,4,0,0,7.17,-0.3,-0.0,-0.0,5.47,1,1,1,1,0,1,0,0,0,1.000,1.42,-0.1,.000,0,0,6.1,0,0,0.00,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0
331,SP,Elieser Hernandez,Vegas,34474, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,1,1,5.2,23,20,5,5,0,0,0,1,1,3,0,9,0,.455,0,0,0,0,0,1.33,2,4,0,2,1.63,0.1,0.3,0.3,1.99,1,1,1,0,0,0,0,0,0,.000,0.00,0.2,.000,2,2,5.2,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.3,0.0
67,SP,Rich Hill,Appleton,34970, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,3,3,13.1,60,52,15,11,3,0,1,8,6,6,0,17,1,.400,0,1,0,1,0,0.91,10,11,2,1,3.22,-0.2,0.5,0.2,3.08,1,3,3,3,2,1,0,0,0,1.000,2.02,-0.5,1.006,3,1,13.1,0,0,0.00,1,1,1,1,0,0,0,0,0,0,0,-0.3,0.0
121,SP,T.J. House,CG,39453, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0.0,0,0,-0.0,0.0,0.0,0.0,1,1,5.1,25,22,7,5,1,0,1,5,4,2,0,4,0,.333,0,1,0,0,0,1.40,6,6,0,0,5.28,-0.3,0.1,-0.1,4.54,1,1,1,0,0,0,0,0,0,.000,0.00,-0.1,.000,0,0,5.1,0,0,0.00,0,0,1,0,0,0,0,0,0,0,0,0.1,0.0
