ID,POS,Name,TM,TM,CID,G,GS,PA,AB,H,1B,2B,3B,HR,RBI,R,BB,IBB,HP,SH,SF,SO,GIDP,wOBA,BABIP,wRC,wRAA,WAR,SB,CS,BatR,wSB,UBR,BsR,G,GS,W,L,IP,BF,AB,HA,1B,2B,3B,HR,R,ER,BB,IBB,K,HP,BABIP,SH,SF,WP,DP,RA,pLi,PPG,PI,GB,FB,SB,CS,FIP,WPA,WAR,rWAR,SIERA,POS,G,GS,TC,A,PO,E,DP,TP,PCT,RNG,ZR,EFF,SBA,RTO,IP,PB,CER,CERA,BIZ-R,BIZ-Rm,BIZ-L,BIZ-Lm,BIZ-E,BIZ-Em,BIZ-U,BIZ-Um,BIZ-Z,BIZ-Zm,BIZ-I,FRM,ARM
235,C,Travis d'Arnaud,Donkedonk,Foo,34516,4,4,16,14,4,3,0,0,1,1,4,1,0,1,0,0,5,0,.374,.375,2,0.1,0.1,0,0,0.0,0.0,0.2,0.2,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,2,4,4,55,6,48,1,0,0,.982,14.16,0.1,.526,6,4,34.1,0,20,5.24,0,0,0,0,2,1,0,0,0,0,0,0.0,0.0
409,C,Robby Hammock,Quebec,DJN,39512,8,8,35,33,9,7,1,0,1,2,6,2,0,0,0,0,11,0,.307,.381,3,-2.2,-0.2,0,0,-2.3,0.0,0.2,0.2,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,2,2,2,19,0,19,0,1,0,1.000,9.00,-0.6,.000,3,0,19.0,1,12,5.68,0,0,0,0,0,0,0,0,0,0,0,-0.1,0.0
192,C,Robby Hammock,Las Vegas,LV,39512,2,1,6,5,0,0,0,0,0,0,1,1,0,0,0,0,1,0,.125,.000,0,-1.5,-0.1,0,0,-1.5,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,2,1,1,7,1,6,0,0,0,1.000,7.00,-0.1,.000,3,1,9.0,0,6,6.00,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0
822,C,Bubbles Hargrave,Norwood,NOR,38076,3,3,14,11,3,2,0,0,1,3,2,3,0,0,0,0,3,0,.414,.286,2,0.6,0.1,0,0,0.6,0.0,0.2,0.2,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,2,3,3,32,6,26,0,0,0,1.000,11.08,-0.0,1.052,2,0,26.0,0,20,6.92,1,1,0,0,1,1,0,0,0,0,0,-0.5,0.0
779,C,Bubbles Hargrave,Dallas,DAL,38076,6,5,23,23,6,0,5,0,1,2,4,0,0,0,0,0,5,0,.337,.294,2,-0.8,0.0,0,0,-0.8,0.0,0.1,0.1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,2,5,5,44,8,34,2,0,0,.955,8.79,0.2,1.052,9,4,43.0,0,31,6.49,0,0,1,1,1,1,0,0,0,0,0,-0.3,0.0
769,C,Bubbles Hargrave,Bed-Stuy,JIM,38076,9,9,43,42,14,4,7,0,3,13,8,1,0,0,0,0,9,0,.419,.367,8,2.1,0.4,0,0,2.1,0.0,0.1,0.1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,2,9,9,89,4,85,0,0,0,1.000,10.27,0.2,.000,2,2,78.0,1,49,5.65,0,0,0,0,0,0,0,0,0,0,0,0.7,0.0
586,C,Bubbles Hargrave,Dinosoaur Bob and,DB,38076,4,4,21,19,5,4,1,0,0,2,3,2,0,0,0,0,3,1,.300,.312,1,-1.5,-0.1,0,0,-1.5,0.0,0.6,0.6,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,2,4,4,46,3,42,1,0,0,.978,11.57,-0.8,.000,3,0,35.0,0,41,10.54,1,0,0,0,0,0,0,0,0,0,0,-0.5,0.0
478,C,Bubbles Hargrave,Winnipeg,WIN,38076,2,1,6,6,3,2,0,0,1,2,3,0,0,0,0,0,0,0,.593,.400,2,1.3,0.2,0,0,1.3,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,2,1,1,10,1,9,0,0,0,1.000,10.00,0.0,1.052,0,0,9.0,0,6,6.00,1,1,0,0,0,0,0,0,0,0,0,0.4,0.0
453,C,Bubbles Hargrave,Crown Point,CP,38076,10,10,46,42,17,12,1,0,4,15,10,4,0,0,0,0,14,0,.479,.542,12,5.0,0.5,1,1,5.0,-0.2,-0.0,-0.2,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,2,9,9,90,4,86,0,1,0,1.000,10.25,-0.2,1.052,6,1,79.0,0,57,6.49,3,3,0,0,0,0,0,0,0,0,0,-0.4,0.0
285,C,Bubbles Hargrave,Shire,SHI,38076,4,4,19,15,5,2,1,1,1,3,4,4,0,0,0,0,5,0,.485,.444,5,2.2,0.1,1,0,2.2,0.3,-0.6,-0.3,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0.0,0.0,0.0,0.00,2,4,4,47,2,44,1,0,0,.979,10.99,-0.4,.000,4,1,37.2,1,21,5.02,0,0,0,0,0,0,0,0,0,0,0,-1.4,0.0
