POS,Name,TM,CID,G,GS,PA,AB,H,1B,2B,3B,HR,BB,IBB,HP,SH,SF,SO,GIDP,wOBA,BABIP,wRC,wRAA,SB,CS,BatR,wSB,UBR,BsR,G,GS,IP,BF,AB,HA,1B,2B,3B,HR,R,ER,BB,IBB,K,HP,BABIP,SH,SF,WP,DP,RA,pLi,GB,FB,SB,CS,FIP,WPA,SIERA,POS,TC,A,PO,E,DP,TP,PCT,RNG,ZR,EFF,SBA,RTO,IP,PB,CER,CERA,BIZ-R,BIZ-Rm,BIZ-L,BIZ-Lm,BIZ-E,BIZ-Em,BIZ-U,BIZ-Um,BIZ-Z,BIZ-Zm,BIZ-I,FRM,ARM
SP,Richard Dotson,Wedgwood,38490, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0,0,-0.0,0.0,0.0,0.0,2,2,11.1,47,40,8,4,1,1,2,4,4,6,0,15,1,.261,0,0,0,1,0,1.09,6,10,1,1,4.84,0.0,2.85,1,1,1,0,0,0,0,1.000,0.79,-0.1,1.019,2,1,11.1,0,0,0.00,1,1,0,0,0,0,0,0,0,0,0,-0.1,0.0
SP,Justin Dunn,Baseball,34295, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0,0,-0.0,0.0,0.0,0.0,1,1,4.1,17,16,3,1,0,0,2,2,2,1,0,8,0,.167,0,0,0,0,0,0.62,0,5,0,0,6.34,-0.0,-0.82,1,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,4.1,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0
SP,Kent Emanuel,Baseball,40624, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0,0,-0.0,0.0,0.0,0.0,1,1,5.1,21,21,5,3,2,0,0,2,1,0,0,3,0,.278,0,0,0,1,0,0.85,5,7,0,0,2.22,0.0,3.85,1,0,0,0,0,0,0,.000,0.00,0.1,.000,0,0,5.1,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,-0.0,0.0
SP,Shawn Estes,Newark,38415, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0,0,-0.0,0.0,0.0,0.0,1,1,5.0,25,19,6,3,3,0,0,6,6,6,0,7,0,.500,0,0,0,1,0,1.10,5,1,0,0,4.14,-0.3,4.86,1,1,1,0,0,0,0,1.000,1.80,0.1,1.019,0,0,5.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,-0.4,0.0
SP,Max Fried,Beijing,35727, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0,0,-0.0,0.0,0.0,0.0,1,1,4.2,21,18,4,2,1,0,1,1,1,3,0,7,0,.300,0,0,1,0,0,1.00,4,3,0,0,5.06,0.1,3.02,1,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,4.2,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0
SP,Tyler Gilbert,Bucknell,40749, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0,0,-0.0,0.0,0.0,0.0,1,1,2.1,17,13,6,3,2,0,1,6,6,4,0,5,0,.714,0,0,0,0,0,1.02,2,0,0,0,9.77,-0.4,4.58,1,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,2.1,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0
SP,Tyler Gilbert,Finneytown,40749, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0,0,-0.0,0.0,0.0,0.0,1,1,6.0,25,24,7,6,0,0,1,2,2,0,0,6,1,.353,0,0,0,0,0,0.88,6,5,0,1,4.01,-0.1,2.54,1,1,1,0,0,0,0,1.000,1.50,0.2,.000,1,1,6.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,-0.3,0.0
SP,Hal Goldsmith,Wedgwood,40184, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0,0,-0.0,0.0,0.0,0.0,2,2,9.2,45,40,12,7,2,0,3,8,7,5,0,9,0,.321,0,0,0,1,0,1.27,5,13,0,0,7.07,-0.3,4.19,1,2,1,1,0,0,0,1.000,1.86,0.1,1.019,0,0,9.2,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0
SP,Marco Gonzales,Long Beach,34592, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0,0,-0.0,0.0,0.0,0.0,2,2,9.1,44,38,12,6,4,1,1,7,7,6,0,10,0,.407,0,0,0,1,0,1.04,9,7,1,0,4.52,-0.3,4.24,1,1,1,0,0,0,0,1.000,0.96,-0.2,.000,1,0,9.1,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.3,0.0
SP,Vladimir Gutierrez,Law Law Land,34300, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0,0,-0.0,0.0,0.0,0.0,3,3,10.0,61,51,20,11,5,1,3,18,18,9,0,10,1,.447,0,0,2,0,0,1.07,12,7,0,1,8.24,-0.9,5.22,1,1,1,0,0,0,0,1.000,0.90,0.3,1.019,1,1,10.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,-0.3,0.0
SP,Harvey Haddix,Tokyo,38110, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0,0,-0.0,0.0,0.0,0.0,1,1,4.1,25,23,9,4,1,0,4,6,6,2,0,4,0,.333,0,0,0,0,0,1.37,3,6,0,0,14.88,-0.4,4.52,1,0,0,0,0,0,0,.000,0.00,0.0,.000,0,0,4.1,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
SP,Rich Hill,Chico,34970, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0,0,-0.0,0.0,0.0,0.0,1,1,5.0,19,18,5,5,0,0,0,0,0,1,0,7,0,.455,0,0,0,1,0,1.27,4,2,0,0,1.14,0.3,1.77,1,2,1,1,0,0,0,1.000,3.60,0.1,.000,0,0,5.0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0.3,0.0
SP,Rich Hill,Whitestone,34970, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0,0,-0.0,0.0,0.0,0.0,4,4,15.2,75,66,19,9,2,0,8,15,14,7,0,19,2,.282,0,0,2,2,0,0.90,14,13,0,0,9.28,-0.8,3.40,1,1,0,1,0,0,0,1.000,0.57,0.2,.000,0,0,15.2,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,-0.3,0.0
SP,Rich Hill,Tar Valon,34970, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,0,-0.0,0,0,-0.0,0.0,0.0,0.0,2,2,8.1,32,29,7,4,1,0,2,3,3,3,0,11,0,.312,0,0,0,1,0,0.88,7,4,1,2,4.90,0.1,2.45,1,2,0,2,0,0,0,1.000,2.16,0.0,.000,3,2,8.1,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,-0.1,0.0
